timeStemp,AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi,label_numeric,label_coor,coordinate
493450824,-61.0,-70.0,-62.0,-60.0,,,
493454454,-53.0,-70.0,-62.0,-59.0,,,
493452687,-61.0,-69.0,-60.0,-60.0,,,
493454034,-53.0,-70.0,-62.0,-60.0,,,
493453888,-62.0,-69.0,-64.0,-60.0,,,
493454639,-62.0,-70.0,-62.0,-59.0,,,
493453583,-55.0,-70.0,-60.0,-61.0,,,
493452745,-61.0,-69.0,-60.0,-59.0,,,
493453396,-61.0,-70.0,-60.0,-61.0,,,
493450582,-61.0,-70.0,-63.0,-60.0,,,
493451504,-61.0,-70.0,-64.0,-60.0,,,
493454872,-62.0,-69.0,-61.0,-60.0,,,
493453382,-61.0,-69.0,-60.0,-61.0,,,
493453251,-60.0,-68.0,-61.0,-54.0,,,
493455218,-62.0,-70.0,-62.0,-57.0,,,
493453643,-60.0,-69.0,-60.0,-60.0,,,
493452284,-62.0,-70.0,-62.0,-59.0,,,
493453106,-61.0,-70.0,-60.0,-59.0,,,
493451311,-61.0,-70.0,-61.0,-60.0,,,
493450920,-61.0,-70.0,-63.0,-59.0,,,
493451767,-62.0,-69.0,-63.0,-60.0,,,
493452630,-61.0,-69.0,-61.0,-60.0,,,
493452270,-62.0,-69.0,-62.0,-54.0,,,
493450624,-54.0,-70.0,-63.0,-60.0,,,
493450694,-61.0,-70.0,-62.0,-61.0,,,
493454828,-61.0,-69.0,-61.0,-60.0,,,
493452150,-55.0,-69.0,-62.0,-60.0,,,
493454222,-62.0,-69.0,-62.0,-59.0,,,
493455174,-61.0,-69.0,-63.0,-60.0,,,
493450795,-60.0,-70.0,-64.0,-60.0,,,
493453020,-61.0,-69.0,-60.0,-60.0,,,
493454354,-62.0,-70.0,-61.0,-60.0,,,
493450508,-61.0,-70.0,-62.0,-55.0,,,
493453801,-61.0,-69.0,-61.0,-57.0,,,
493453193,-61.0,-69.0,-60.0,-60.0,,,
493450881,-61.0,-70.0,-63.0,-59.0,,,
493453700,-61.0,-70.0,-60.0,-60.0,,,
493449604,-61.0,-70.0,-61.0,-60.0,,,
493454960,-61.0,-69.0,-61.0,-60.0,,,
493449899,-61.0,-70.0,-61.0,-60.0,,,
493452990,-60.0,-69.0,-60.0,-60.0,,,
493450188,-61.0,-70.0,-63.0,-55.0,,,
493452390,-62.0,-69.0,,,,,
493451607,-61.0,-70.0,-63.0,-60.0,,,
493451253,-61.0,-70.0,-61.0,-61.0,,,
493449164,-61.0,-70.0,-62.0,-59.0,,,
493449473,-61.0,-70.0,-58.0,-60.0,,,
493449376,-61.0,-70.0,-63.0,-60.0,,,
493451375,,-70.0,-62.0,-61.0,,,
493451007,-61.0,-70.0,-65.0,-61.0,,,
493454555,-62.0,-69.0,-62.0,-59.0,,,
493455061,-61.0,-68.0,-61.0,-60.0,,,
493452107,-61.0,-69.0,-64.0,-61.0,,,
493450332,-61.0,-70.0,-63.0,-60.0,,,
493449702,-61.0,-70.0,-61.0,-60.0,,,
493452375,-61.0,-69.0,-63.0,-60.0,,,
493453830,-61.0,-69.0,-63.0,-60.0,,,
493455421,-58.0,-70.0,-59.0,-58.0,,,
493451489,-62.0,-70.0,-63.0,-60.0,,,
493449560,-61.0,-70.0,-57.0,-59.0,,,
493454048,-61.0,-69.0,-59.0,-58.0,,,
493451901,-62.0,-69.0,-65.0,-53.0,,,
493452976,-61.0,-69.0,-60.0,-56.0,,,
493452571,-61.0,-70.0,-62.0,-60.0,,,
493454368,-62.0,-70.0,-61.0,-55.0,,,
493449012,-62.0,-70.0,-62.0,-59.0,,,
493452600,-60.0,-68.0,-62.0,-56.0,,,
493454814,-61.0,-69.0,-62.0,-55.0,,,
493450405,-61.0,-70.0,-62.0,-54.0,,,
493452179,-61.0,-70.0,-62.0,-59.0,,,
493454526,-56.0,-70.0,-61.0,-59.0,,,
493451990,-62.0,-69.0,-60.0,-60.0,,,
493451389,-60.0,-69.0,-61.0,-55.0,,,
493450376,-61.0,-70.0,-63.0,-59.0,,,
493453120,-60.0,-69.0,-60.0,-59.0,,,
493452019,-62.0,-69.0,-62.0,-60.0,,,
493449846,-52.0,-70.0,-62.0,-59.0,,,
493449646,-61.0,-69.0,-62.0,-61.0,,,
493449432,-61.0,-70.0,-63.0,-60.0,,,
493452760,-61.0,-69.0,-62.0,-59.0,,,
493453613,-61.0,-70.0,-60.0,-61.0,,,
493451810,-62.0,-70.0,-63.0,-60.0,,,
493454785,-61.0,-69.0,-61.0,-60.0,,,
493449362,-61.0,-70.0,-63.0,-60.0,,,
493454711,-61.0,-70.0,-61.0,-60.0,,,
493452240,-61.0,-69.0,-62.0,-60.0,,,
493452658,-61.0,-69.0,-62.0,-60.0,,,
493453062,-60.0,-68.0,-60.0,-60.0,,,
493451296,,,,-60.0,,,
493454497,-62.0,-70.0,-61.0,-59.0,,,
493450950,-61.0,-70.0,-61.0,-58.0,,,
493449860,-61.0,-70.0,-62.0,-59.0,,,
493450907,-60.0,-70.0,-64.0,-60.0,,,
493450809,-61.0,-70.0,-64.0,-60.0,,,
493455436,-57.0,-70.0,-61.0,-61.0,,,
493449107,-61.0,-70.0,-63.0,-60.0,,,
493453598,-61.0,-70.0,-60.0,-60.0,,,
493455003,-61.0,-69.0,-61.0,-56.0,,,
493449887,-53.0,-70.0,-62.0,-59.0,,,
493453237,-61.0,-69.0,-60.0,-59.0,,,
493449191,-61.0,-70.0,-63.0,-60.0,,,
493451208,-61.0,-70.0,-63.0,-61.0,,,
493449546,-62.0,-69.0,-62.0,-59.0,,,
493454945,-62.0,-69.0,-61.0,-60.0,,,
493454237,-62.0,-69.0,-61.0,-59.0,,,
493452034,-62.0,-69.0,-62.0,-60.0,,,
493452932,-61.0,-69.0,-61.0,-61.0,,,
493454610,-61.0,-69.0,-62.0,-59.0,,,
493453758,-56.0,-69.0,-62.0,-59.0,,,
493452328,-62.0,-69.0,-62.0,-59.0,,,
493451916,-61.0,-69.0,-66.0,-61.0,,,
493451975,-62.0,-69.0,-60.0,-60.0,,,
493453164,-56.0,-70.0,-60.0,-60.0,,,
493454917,-60.0,-68.0,-61.0,-60.0,,,
493452528,-62.0,-69.0,-62.0,-58.0,,,
493455306,-61.0,-69.0,-61.0,-61.0,,,
493454932,-61.0,-68.0,-61.0,-55.0,,,
493453280,-61.0,-70.0,-61.0,-58.0,,,
493453947,-61.0,-70.0,-64.0,-58.0,,,
493452788,-61.0,-69.0,-62.0,-60.0,,,
493451825,-62.0,-70.0,-64.0,-60.0,,,
493451282,-56.0,-70.0,-61.0,-60.0,,,
493449589,-61.0,-70.0,-61.0,-59.0,,,
493452049,-62.0,-70.0,-62.0,-60.0,,,
493451667,-61.0,-70.0,-64.0,-60.0,,,
493453368,-60.0,-69.0,-60.0,-60.0,,,
493452643,-61.0,-69.0,-61.0,-59.0,,,
493450479,-61.0,-70.0,-62.0,-59.0,,,
493449732,-50.0,-70.0,-61.0,-59.0,,,
493448964,-65.0,-69.0,-62.0,-56.0,,,
493455233,-55.0,-70.0,-61.0,-60.0,,,
493449674,-61.0,-69.0,-62.0,-60.0,,,
493450114,-61.0,-70.0,-63.0,-60.0,,,
493451886,-61.0,-69.0,-64.0,-55.0,,,
493449459,-61.0,-70.0,-62.0,-60.0,,,
493452702,-61.0,-69.0,-62.0,-60.0,,,
493454165,-60.0,-68.0,-62.0,-60.0,,,
493450275,-55.0,-70.0,-62.0,-59.0,,,
493453787,-61.0,-69.0,-62.0,-59.0,,,
493455117,-61.0,,-61.0,-54.0,,,
493449717,-61.0,-70.0,-59.0,-58.0,,,
493453874,-61.0,-70.0,-64.0,-60.0,,,
493452716,-53.0,-69.0,,-59.0,,,
493452389,,,-61.0,-61.0,,,
493459704,-62.0,-73.0,-55.0,-65.0,,,
493458348,-63.0,-73.0,-55.0,-67.0,,,
493460757,-63.0,-73.0,-54.0,-65.0,,,
493464213,-52.0,-72.0,-55.0,-60.0,,,
493460127,-62.0,-73.0,-55.0,-65.0,,,
493461187,-62.0,-72.0,-55.0,-61.0,,,
493463748,-63.0,-72.0,-55.0,-64.0,,,
493462212,-63.0,-72.0,-55.0,-66.0,,,
493461142,-62.0,-72.0,-55.0,-66.0,,,
493458986,-63.0,-72.0,-53.0,-58.0,,,
493464390,-62.0,-72.0,-55.0,-66.0,,,
493462886,-64.0,-74.0,-53.0,-64.0,,,
493459032,-57.0,-72.0,-55.0,-66.0,,,
493462738,-58.0,-73.0,-55.0,-67.0,,,
493461479,-57.0,-73.0,-55.0,-64.0,,,
493463910,-63.0,-72.0,-53.0,-64.0,,,
493460918,-62.0,-73.0,-55.0,-65.0,,,
493461522,-63.0,-72.0,-55.0,-65.0,,,
493464330,-62.0,-73.0,-52.0,-65.0,,,
493457938,-58.0,-81.0,-54.0,-62.0,,,
493458912,-64.0,-73.0,-55.0,-66.0,,,
493461725,-62.0,-72.0,-55.0,-66.0,,,
493464492,-59.0,-73.0,-53.0,-67.0,,,
493458479,-63.0,-73.0,-54.0,-68.0,,,
493460889,-62.0,-73.0,-54.0,-64.0,,,
493462344,-63.0,-72.0,-55.0,-66.0,,,
493458942,-63.0,-73.0,-56.0,-66.0,,,
493459090,-64.0,-73.0,-55.0,-64.0,,,
493459733,-62.0,-73.0,-55.0,-59.0,,,
493458052,-64.0,-79.0,-54.0,-63.0,,,
493458709,-65.0,-74.0,-53.0,-68.0,,,
493461275,-62.0,-72.0,-54.0,-63.0,,,
493464432,-62.0,-76.0,-51.0,-63.0,,,
493462182,-64.0,-73.0,-55.0,-65.0,,,
493463413,-64.0,-73.0,-55.0,-65.0,,,
493462577,-63.0,-72.0,-55.0,-67.0,,,
493463792,-63.0,-72.0,-54.0,-65.0,,,
493461537,-62.0,-72.0,-55.0,-65.0,,,
493459016,-63.0,-73.0,-51.0,-66.0,,,
493462607,-63.0,-72.0,-55.0,-66.0,,,
493464083,-63.0,-72.0,-55.0,-63.0,,,
493463543,,,-55.0,-65.0,,,
493460318,-62.0,-73.0,-52.0,-64.0,,,
493459046,-63.0,-72.0,-53.0,-62.0,,,
493461886,-62.0,-72.0,-52.0,-65.0,,,
493463852,-63.0,-72.0,-55.0,-59.0,,,
493459001,-55.0,-73.0,-56.0,-66.0,,,
493461360,-62.0,-72.0,-55.0,-66.0,,,
493464028,-63.0,-72.0,-55.0,-63.0,,,
493458956,-61.0,-73.0,-55.0,-66.0,,,
493459938,-63.0,-73.0,-55.0,-65.0,,,
493459248,-63.0,-74.0,-55.0,-65.0,,,
493464141,-57.0,-72.0,-54.0,-64.0,,,
493464127,-64.0,-72.0,-55.0,,,,
493458391,-64.0,-74.0,-54.0,-68.0,,,
493460904,-62.0,-73.0,-55.0,-65.0,,,
493462534,-57.0,-72.0,-55.0,-66.0,,,
493463690,-63.0,-72.0,-55.0,-65.0,,,
493459895,-63.0,-73.0,-55.0,-66.0,,,
493458080,-62.0,-74.0,-56.0,-66.0,,,
493463720,-63.0,-72.0,-55.0,-64.0,,,
493458137,-62.0,-74.0,-56.0,-65.0,,,
493460377,-62.0,-73.0,-55.0,-65.0,,,
493461930,-63.0,-73.0,-55.0,-66.0,,,
493463092,-54.0,-73.0,-55.0,-61.0,,,
493458195,-55.0,-72.0,-55.0,-68.0,,,
493463280,-64.0,-73.0,-55.0,-66.0,,,
493462330,-63.0,-72.0,-55.0,-66.0,,,
493458724,-64.0,-73.0,-56.0,-65.0,,,
493460670,-62.0,-73.0,-55.0,-64.0,,,
493463646,-63.0,-72.0,-55.0,-60.0,,,
493463354,-63.0,-72.0,-55.0,-65.0,,,
493459204,-63.0,-73.0,-55.0,-65.0,,,
493459542,-63.0,-74.0,-55.0,-65.0,,,
493463544,-63.0,-72.0,,,,,
493458281,-63.0,-73.0,-55.0,-68.0,,,
493460700,-62.0,-73.0,-55.0,-65.0,,,
493460830,-63.0,-73.0,-55.0,-65.0,,,
493464112,-62.0,-71.0,-55.0,-65.0,,,
493458523,-64.0,-73.0,-56.0,-69.0,,,
493460494,-62.0,-72.0,-55.0,-65.0,,,
493464301,-61.0,-72.0,-55.0,-63.0,,,
493464375,-61.0,-71.0,-55.0,-65.0,,,
493463166,-64.0,-73.0,-55.0,-66.0,,,
493461813,,,-55.0,-66.0,,,
493462227,-63.0,-72.0,-55.0,-67.0,,,
493458238,-63.0,-73.0,-56.0,-63.0,,,
493462256,-63.0,-72.0,-55.0,-67.0,,,
493458581,-64.0,-74.0,-55.0,-66.0,,,
493459362,-63.0,-74.0,-55.0,-64.0,,,
493463882,-63.0,-72.0,-55.0,-64.0,,,
493460172,-62.0,-73.0,-55.0,-60.0,,,
493464448,-59.0,-76.0,-54.0,-67.0,,,
493458738,-63.0,-73.0,-55.0,-64.0,,,
493460142,-62.0,-73.0,-54.0,-63.0,,,
493462121,-62.0,-72.0,-55.0,-65.0,,,
493458268,-64.0,-73.0,-56.0,-67.0,,,
493458166,-62.0,-73.0,-54.0,-69.0,,,
493458869,-63.0,-73.0,-56.0,-67.0,,,
493460656,-62.0,-73.0,-55.0,-65.0,,,
493461622,-56.0,-72.0,-55.0,-67.0,,,
493458362,-62.0,-74.0,-55.0,-66.0,,,
493459118,-63.0,-73.0,-55.0,-63.0,,,
493463734,-63.0,-72.0,-55.0,-64.0,,,
493459807,-63.0,-73.0,-55.0,-65.0,,,
493463675,-63.0,-72.0,-54.0,-63.0,,,
493462374,-64.0,-73.0,-52.0,-66.0,,,
493459262,-63.0,-74.0,-54.0,-61.0,,,
493461508,-63.0,-73.0,-55.0,-65.0,,,
493459585,-61.0,-73.0,-55.0,-65.0,,,
493459600,-62.0,-73.0,-55.0,-63.0,,,
493461318,-61.0,-73.0,-55.0,-66.0,,,
