timeStemp,AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi,label,label_coor,coordinate
553296670,-55.0,-71.0,-55.0,-64.0,31.0,"(6.0, 0)",1-11
553291938,-60.0,-71.0,,-59.0,31.0,"(6.0, 0)",1-11
553293912,,,-53.0,-65.0,31.0,"(6.0, 0)",1-11
553295939,-59.0,-71.0,-52.0,-65.0,31.0,"(6.0, 0)",1-11
553293721,-51.0,-71.0,-52.0,-61.0,31.0,"(6.0, 0)",1-11
553293065,-60.0,-71.0,-54.0,-64.0,31.0,"(6.0, 0)",1-11
553291904,-59.0,-71.0,-51.0,-64.0,31.0,"(6.0, 0)",1-11
553294941,-59.0,-71.0,-54.0,-63.0,31.0,"(6.0, 0)",1-11
553293754,-60.0,-71.0,-52.0,-64.0,31.0,"(6.0, 0)",1-11
553291293,-60.0,-71.0,-54.0,-64.0,31.0,"(6.0, 0)",1-11
553291071,-60.0,-71.0,-52.0,-53.0,31.0,"(6.0, 0)",1-11
553290806,-59.0,-71.0,-55.0,-58.0,31.0,"(6.0, 0)",1-11
553294547,-59.0,-71.0,-52.0,,31.0,"(6.0, 0)",1-11
553293521,-60.0,-71.0,-54.0,-61.0,31.0,"(6.0, 0)",1-11
553296169,-59.0,-71.0,-55.0,-60.0,31.0,"(6.0, 0)",1-11
553290741,-59.0,-71.0,-52.0,-61.0,31.0,"(6.0, 0)",1-11
553295463,-59.0,-71.0,-55.0,-65.0,31.0,"(6.0, 0)",1-11
553293962,-60.0,-71.0,-54.0,-61.0,31.0,"(6.0, 0)",1-11
553294451,-59.0,-71.0,-49.0,-67.0,31.0,"(6.0, 0)",1-11
553294875,-59.0,-71.0,-54.0,-65.0,31.0,"(6.0, 0)",1-11
553292926,-60.0,-71.0,-54.0,-64.0,31.0,"(6.0, 0)",1-11
553295904,-59.0,-71.0,-51.0,-61.0,31.0,"(6.0, 0)",1-11
553292555,-59.0,,-54.0,-59.0,31.0,"(6.0, 0)",1-11
553291310,-60.0,-71.0,-54.0,-62.0,31.0,"(6.0, 0)",1-11
553292511,-59.0,-71.0,-52.0,-60.0,31.0,"(6.0, 0)",1-11
553292389,-59.0,-71.0,-49.0,-59.0,31.0,"(6.0, 0)",1-11
553290447,-60.0,-71.0,-53.0,,31.0,"(6.0, 0)",1-11
553291348,-59.0,-71.0,-49.0,-58.0,31.0,"(6.0, 0)",1-11
553295070,-59.0,-71.0,-54.0,-65.0,31.0,"(6.0, 0)",1-11
553290525,-59.0,-71.0,-50.0,-58.0,31.0,"(6.0, 0)",1-11
553292827,-60.0,-71.0,-52.0,-64.0,31.0,"(6.0, 0)",1-11
553290947,-48.0,-71.0,-49.0,-58.0,31.0,"(6.0, 0)",1-11
553296346,-60.0,-71.0,-54.0,-60.0,31.0,"(6.0, 0)",1-11
553295640,-59.0,-71.0,-54.0,-67.0,31.0,"(6.0, 0)",1-11
553293771,-60.0,-71.0,-54.0,-65.0,31.0,"(6.0, 0)",1-11
553294731,-59.0,-71.0,-54.0,-63.0,31.0,"(6.0, 0)",1-11
