timeStemp,AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi,label_numeric,label_coor,coordinate
604732749,-62.0,-72.0,-62.0,-48.0,1-1,"(0, 0)","(0, 0)"
604735496,-62.0,-72.0,-64.0,-43.0,1-1,"(0, 0)","(0, 0)"
604732977,-62.0,-72.0,-64.0,-48.0,1-1,"(0, 0)","(0, 0)"
604730921,-62.0,-72.0,-64.0,-43.0,1-1,"(0, 0)","(0, 0)"
604733005,-62.0,-72.0,-64.0,-48.0,1-1,"(0, 0)","(0, 0)"
604733459,-62.0,-72.0,-64.0,-48.0,1-1,"(0, 0)","(0, 0)"
604732435,-62.0,-72.0,-64.0,-48.0,1-1,"(0, 0)","(0, 0)"
604733982,-62.0,-72.0,-64.0,-48.0,1-1,"(0, 0)","(0, 0)"
604735567,-61.0,-72.0,-62.0,-47.0,1-1,"(0, 0)","(0, 0)"
604732448,-62.0,-72.0,-64.0,-48.0,1-1,"(0, 0)","(0, 0)"
604732200,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604734555,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604734250,-62.0,-72.0,-64.0,-43.0,1-1,"(0, 0)","(0, 0)"
604729752,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604732004,-62.0,-72.0,-61.0,-47.0,1-1,"(0, 0)","(0, 0)"
604731202,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604735851,-62.0,-72.0,-66.0,-48.0,1-1,"(0, 0)","(0, 0)"
604732297,-57.0,-72.0,-64.0,-43.0,1-1,"(0, 0)","(0, 0)"
604733047,-62.0,,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604733048,,-72.0,,,1-1,"(0, 0)","(0, 0)"
604730075,-57.0,-72.0,-64.0,-44.0,1-1,"(0, 0)","(0, 0)"
604730808,-62.0,-72.0,-63.0,-47.0,1-1,"(0, 0)","(0, 0)"
604732476,-62.0,-72.0,-64.0,-48.0,1-1,"(0, 0)","(0, 0)"
604732663,-62.0,-72.0,-62.0,-48.0,1-1,"(0, 0)","(0, 0)"
604729351,,-73.0,-65.0,-49.0,1-1,"(0, 0)","(0, 0)"
604734407,-62.0,-72.0,-64.0,-44.0,1-1,"(0, 0)","(0, 0)"
604735708,-62.0,-73.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604731459,-61.0,-72.0,-64.0,-42.0,1-1,"(0, 0)","(0, 0)"
604731358,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604731730,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604731829,-62.0,-72.0,-64.0,-43.0,1-1,"(0, 0)","(0, 0)"
604729413,,-72.0,-60.0,-47.0,1-1,"(0, 0)","(0, 0)"
604734351,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604730690,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604730382,-52.0,-72.0,-63.0,-42.0,1-1,"(0, 0)","(0, 0)"
604729779,-61.0,-71.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604734438,-62.0,-72.0,-64.0,-48.0,1-1,"(0, 0)","(0, 0)"
